lehce	ingilizce	ornekPL1	ornekEN1	ornekPL2	ornekEN2
człowiek	human	To jest dobry człowiek.	This is a good person.	Każdy człowiek potrzebuje odpoczynku.	Every human needs rest.
słoń	elephant	Słoń mieszka w zoo.	The elephant lives in the zoo.	Ten słoń jest bardzo duży.	This elephant is very big.
tygrys	tiger	Tygrys szybko biegnie.	The tiger runs fast.	Widziałem tygrysa w filmie.	I saw a tiger in a movie.
krab	crab	Krab chodzi po plaży.	The crab walks on the beach.	Ten krab ma duże szczypce.	This crab has big claws.
lew	lion	Lew jest królem zwierząt.	The lion is the king of animals.	Mały lew śpi pod drzewem.	A small lion is sleeping under a tree.
pająk	spider	Pająk siedzi na ścianie.	The spider is sitting on the wall.	Nie boję się pająka.	I am not afraid of spiders.
sukienka	dress	Ta sukienka jest czerwona.	This dress is red.	Ona nosi nową sukienkę.	She is wearing a new dress.
koszula	shirt	Moja koszula jest biała.	My shirt is white.	On prasuje koszulę.	He is ironing a shirt.
nosić	to wear / to carry	Lubię nosić wygodne ubrania.	I like to wear comfortable clothes.	Ona nosi czarną koszulę.	She is wearing a black shirt.
spodnie	pants / trousers	Te spodnie są za długie.	These pants are too long.	Kupiłem nowe spodnie.	I bought new pants.
spódnica	skirt	Ta spódnica jest krótka.	This skirt is short.	Ona zakłada spódnicę do pracy.	She puts on a skirt for work.
majtki	underwear	Muszę kupić nowe majtki.	I need to buy new underwear.	Majtki są w szufladzie.	The underwear is in the drawer.
list	letter	Napisałem list do mamy.	I wrote a letter to my mother.	Ten list przyszedł rano.	This letter arrived in the morning.
głos	voice	Masz piękny głos.	You have a beautiful voice.	Usłyszałem jej głos w telefonie.	I heard her voice on the phone.
tamte	those	Tamte dziewczyny są z Polski.	Those girls are from Poland.	Weź te książki stąd, a przynieś tamte z tamtego pokoju.	Take these books from here and bring those from that room.
tamten pies	that dog	Tamten pies jest bardzo spokojny.	That dog is very calm.	Widzę tamtego psa przy bramie.	I see that dog by the gate.
tamta lampa	that lamp	Tamta lampa świeci mocno.	That lamp shines brightly.	Podoba mi się tamta lampa.	I like that lamp.
tamto dziecko	that child	Tamto dziecko bawi się w parku.	That child is playing in the park.	Znam mamę tamtego dziecka.	I know that child's mother.
wasz	your (plural, for you all)	Wasz syn jest bardzo miły.	Your son is very nice.	Czy to wasze dziecko?	Is that your child?
wasz syn	your son (plural you)	Wasz syn jest w szkole.	Your son is at school.	Lubię rozmawiać z waszym synem.	I like talking with your son.
wasza córka	your daughter (plural you)	Wasza córka jest bardzo zdolna.	Your daughter is very talented.	Czy wasza córka mówi po angielsku?	Does your daughter speak English?
wasze dziecko	your child (plural you)	Wasze dziecko śpi w pokoju.	Your child is sleeping in the room.	Wasze dziecko lubi zabawki.	Your child likes toys.
wasi rodzice	your parents (plural you)	Wasi rodzice są mili.	Your parents are nice.	Czy wasi rodzice mieszkają blisko?	Do your parents live nearby?
nasz	our	Nasz dom jest blisko szkoły.	Our house is near the school.	Nasze dzieci lubią czytać.	Our children like reading.
nasz syn	our son	Nasz syn uczy się polskiego.	Our son is learning Polish.	Nasz syn lubi sport.	Our son likes sports.
nasza córka	our daughter	Nasza córka czyta książkę.	Our daughter is reading a book.	Nasza córka chodzi do liceum.	Our daughter goes to high school.
nasze dziecko	our child	Nasze dziecko jest szczęśliwe.	Our child is happy.	Nasze dziecko śpi spokojnie.	Our child is sleeping peacefully.
nasi rodzice	our parents	Nasi rodzice mieszkają w Polsce.	Our parents live in Poland.	Nasi rodzice pomagają nam często.	Our parents often help us.
tęskniłem / tęskniłam	I missed	Tęskniłem za tobą cały tydzień.	I missed you all week.	Tęskniłam za domem, gdy byłam za granicą.	I missed home when I was abroad.
czuję się jak w domu	I feel at home	Tutaj czuję się jak w domu.	I feel at home here.	W twoim mieszkaniu czuję się jak w domu.	I feel at home in your apartment.
mąż	husband	Mój mąż pracuje w biurze.	My husband works in an office.	Jej mąż gotuje obiad.	Her husband is cooking dinner.
żona	wife	Moja żona lubi kawę.	My wife likes coffee.	Jego żona jest nauczycielką.	His wife is a teacher.
rodzic / rodzice	parent / parents	Każdy rodzic martwi się o dziecko.	Every parent worries about their child.	Moi rodzice mieszkają w Warszawie.	My parents live in Warsaw.
małżeństwo	marriage	Ich małżeństwo jest szczęśliwe.	Their marriage is happy.	Małżeństwo wymaga cierpliwości.	Marriage requires patience.
rodzeństwo	siblings	Mam starsze rodzeństwo.	I have older siblings.	Moje rodzeństwo mieszka blisko mnie.	My siblings live near me.
